Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
com.ssppl.shuishoupaopaolong.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.ssyl.cdjh.ydjd.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.star.game.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.starspeedgame.tueboracing.apk,crashed,6,1,72,8,15,91,104,9,0,0,1,0,1,0,0
com.stockholm.meow.apk,0,4,0,136,8,129,256,281,11,0,0,1,0,1,0,0
com.stone106.dex.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.zb.xapp.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.zczm.daka.apk,0,4,0,299,100,165,273,384,102,0,1,1,0,1,0,0
com.zdanjian.zdanjian.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.zeddevapp.dualhikeclone.apk,0,4,0,101,51,181,117,123,52,0,0,1,0,1,0,0
com.zeddevapp.dualzalokonto.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.zeddevapp.multikakoachat.apk,0,4,0,101,51,181,117,123,52,0,0,1,0,1,0,0
com.zengame.djddz.mi.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
