Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
comcom.newvideodevelopermultipleaccounts.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comcom.silverluckmultipleaccounts.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coms.duokainiuba.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
ctrla.virtualapp.apk,0,4,0,101,51,147,115,120,52,0,1,1,0,1,0,0
cz.ger.spacetap.apk,0,6,1,81,9,17,76,86,9,0,0,1,0,1,0,0
data.ac.modk.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
data.cc.locn.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
dex.gu.dmw.dmwapp.apk,0,4,0,101,51,76,110,121,53,0,1,1,0,1,0,0
dfhos.aoyi.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
digitalphotoapps.dualspaceapp.apk,0,4,0,101,51,145,116,121,52,0,0,1,0,1,0,0
DmsyM.Dw.RU.WYwRZ.apk,0,4,0,101,51,186,108,113,52,1,1,0,0,2,0,0
dobavleniedlast.kv.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
dotcode.parallel.apk,0,4,0,100,50,160,112,115,52,0,1,1,0,1,0,0
doubleit.appteam.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubleit.lite.apk,0,4,0,101,51,145,113,118,52,0,1,1,0,1,0,0
dualspace.multipleaccounts.clone.apk,0,4,0,101,51,181,115,120,52,0,0,1,0,1,0,0
eDNCjj.lyYr.NAqwT.Jaig.apk,0,4,0,101,51,186,108,113,52,1,1,0,0,2,1,1
eIfu.ZiYh.Qe.aJDk.apk,0,4,0,101,51,186,108,113,52,1,1,0,0,2,0,0
el.pro.kesh.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
er.luster.clone.apk,0,4,0,101,51,182,113,124,52,0,1,1,0,1,0,0
EsjS.Uf.smI.FY.apk,0,4,0,101,51,186,108,113,52,0,1,1,0,2,1,1
fB.HnbzL.aTwsjL.ik.uxyzCn.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
fc.multiple.app.cloner.account.mochat.apk,0,4,0,151,51,195,141,215,52,0,1,1,0,1,0,0
fishjoy.control.dino.apk,0,6,1,81,9,20,87,100,9,0,0,1,0,1,0,0
flapcatcopters.hbook.us.apk,0,6,1,13,13,20,12,35,16,0,0,1,0,1,0,0
foster.parallelspace.dualspace.apk,0,4,0,101,51,156,116,141,52,0,0,1,0,1,0,0
free.game.video.box.fuo.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.bestv.ott.child.gw.apk,0,4,0,48,3,153,153,189,9,0,0,1,0,1,0,0
com.bf.starcorps.ck.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.bfire.da.nui.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.bhjd.baohujidan.apk,0,6,1,81,9,56,84,99,9,0,0,1,0,1,0,0
com.bie.android.babycode.aiyouxi.egame.apk,0,4,0,58,11,122,111,162,19,0,1,1,0,1,0,0
com.bie.ios.BBQ.aiyouxi.egame.apk,0,4,0,64,11,122,111,162,20,0,1,1,0,1,0,0
com.biemore.android.BeachParty.aiyouxi.egame.apk,0,4,0,64,11,122,111,162,20,0,1,1,0,1,0,0
com.biemore.android.Carnival.aiyouxi.egame.apk,0,6,1,125,52,194,188,222,60,0,1,1,0,1,0,0
com.biemore.android.childrenSupermarket.aiyouxi.egame.apk,0,4,0,40,10,122,84,133,19,0,1,1,0,1,0,0
com.biemore.android.childrenToysCity.aiyouxi.egame.apk,0,4,0,64,11,122,111,162,20,0,1,1,0,1,0,0
com.biemore.android.DessertMiniShop.aiyouxi.egame.apk,0,4,0,64,11,122,111,162,20,0,1,1,0,1,0,0
com.biemore.android.FairyPrincess.aiyouxi.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.FantasyJungle.aiyouxi.egame.apk,0,4,0,64,11,122,111,162,20,0,1,1,0,1,0,0
com.biemore.android.HappyKindergarten.aiyouxi.egame.apk,0,6,1,125,52,194,188,222,60,0,1,1,0,1,0,0
com.biemore.android.Hospital.aiyouxi.egame.apk,0,4,0,30,10,121,86,136,19,0,0,1,0,1,0,0
com.biemore.android.kidsDessert.aiyouxi.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.kidsFootBall.aiyouxi.egame.apk,0,4,0,64,11,122,111,162,20,0,0,1,0,1,0,0
com.biemore.android.kidsPuppy.aiyouxi.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.mathadventure.aiyouxi.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.Restaurant.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.ShiningFarm.aiyouxi.egame.apk,0,4,0,64,11,122,111,162,18,0,1,1,0,1,0,0
com.biemore.android.SweetCandyMaker.aiyouxi.egame.apk,0,6,1,125,52,194,188,222,60,0,1,1,0,1,0,0
com.liangchapu.apk,0,6,1,153,9,149,420,471,12,0,0,1,0,1,0,0
com.libii.candycarnival.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.libii.candydesserthouse.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.libii.princessvacation.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.libii.princesswedding.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.libii.schoolboutique.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.libii.starfever.egame.apk,0,6,1,125,52,194,188,222,60,0,1,1,0,1,0,0
com.libiitech.princesssalon2.egame.apk,0,6,1,125,52,194,188,222,60,0,1,1,0,1,0,0
com.lightsky.video.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.lipalearning.lipabookband.egame.apk,0,4,0,60,11,122,111,162,16,0,1,1,0,1,0,0
com.lipalearning.lipaknight.game.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.lipalearning.lipatrain.game.egame.apk,0,4,0,66,11,122,111,162,17,0,1,1,0,1,0,0
com.liqiang365.saas.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.liqiang365app.musen.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.liqingzhizaochang.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.liudehjign.htdbgsqv.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.liufei.vlocation.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.liuniantech.fenshen123.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
net.fishlabs.vwscc2.apk,0,6,1,81,9,19,78,90,9,0,0,1,0,1,0,0
net.kairosoft.android.daishizen_en.apk,0,6,1,81,9,17,79,93,9,0,0,1,0,1,0,0
net.kairosoft.android.noodle_ja.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
net.ksdt.apps_duplicate.apk,0,4,0,101,51,181,112,117,52,0,1,1,0,1,0,0
net.moeapp.avg.skski.apk,0,6,1,81,9,17,77,87,9,1,0,0,0,1,0,0
net.netm.appleo.greedypigs.full.apk,0,6,1,81,9,19,78,89,9,1,0,0,0,1,0,0
net.nimeysagga.ovwbjq.apk,0,6,1,81,9,16,78,92,9,0,0,1,0,1,0,0
net.orenoshiro.blockquest.apk,0,6,1,81,9,21,82,93,9,0,0,1,0,1,0,0
net.sg.mobile.jiyin.apk,0,6,1,81,9,28,77,92,10,0,0,1,0,1,0,0
net.t7337ef9.t55b722b.rlys.apk,0,4,0,160,10,147,275,286,10,0,0,1,0,1,0,0
net.tanlanzhubajie.apk,0,6,1,81,9,16,81,96,9,1,0,0,0,1,0,0
net.wow.seven.iqiyi.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
nilgame.pintu.xmbzjh.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
