APP SHA,Install,Native Run,Virtualized Run
F2656122BDC8BC211AA7796191C6D9015FF86B156AE18D35730BA68C491C3FE9,installed,working,working
AAF3BBEA70925C9D1F902F419039618843D3D0EC8ACA8FF9BD6FC0E21A26E04B,installed,working,working
64BF63B6DA2905B5682B9D1370E0F44F8552007BB6B65E5112BF1FD674231E7D,installed,working,working
5C934C6F8A7B4A4A35E35618587D780F168B5FEAA4D265B2815A5E78FDC786E8,installed,main activity error,error
C8091A6C75CB42E82813394519AC589FC6475837F3DD3D7E17E6955BADBEF34C,installed,working,working
50945111AB37845A3BCA473331105C10A3568211337333BBB82DE2BA0B3BC139,installed,working,working
F9B36BC78B8DD95F71B530E491B6A73DA1CA3F60B770C0FBD290ABECFFBBDA5B,installed,working,working
D572E94F4E40671E525394813F35CD93EC1BD50D0088C42F76279FB2127CD442,installed,working,working
E065CF0D6330709EF5B040C2EDC0A5FF12D9097EAE0D23FD43511A30EFAFA038,installed,working,working
CEDE2C7BFB15B9B63CBAFBA38CEEFE1F8A32CF9409AFABBF5961B72F0AEB5A09,installed,working,working
779383306C55ACFA570E93F37944C8FD3F2188AEAC31221B23875CBBCB7038AB,installed,working,working
D2980FE686090E1597BA7A775AFE1C39949392E9A1BB6DA4DD1A1CDFFDC6E1D3,installed,working,working
E55970E7760BD3307B363C9A5E92A72F10DC94A1A0B78788DFAFF8CD6E17D380,installed,working,working
97E738FD7567CC2387508C284D1C4A78940E6C431E0D08C408374E5AA8AE0A4C,installed,error,error
FEDA36BDDA6FD146CE69C04D01E365E64717BEDB62B963DF461C0F2274A36534,installed,working,working
298D63E95F7BE2EB1459F3B0C4429D4C31E3688E557E20DA8E2EDD749618773D,installed,main activity error,working
F917F963EEB68594686D1A3D452A76E9BB36CE85B72C17B3E30271BF306E136A,installed,working,working
7C37D6E59387B8A33A1A50407141BDAC17A8733613CBB8644D32E0E220BF183C,installed,error,error
545E7AA3B2F9E1FDC294893E8FA19115E24DC39861EE12AF800898108B91D4C6,installed,error,error
7153F51FF62BC6017E760E2F934E62F83D19F469C8B6DDBF4A9F160586E47C95,installed,main activity error,error
7EB4A07DF19369785C26F125C95784DDB8F7BDCE0AE4BB6DF7712CE2B0D68578,installed,working,working
000A94F5B41F7C7F6E7CD767A98508CD10136B07F359DD9810AB2B0E46D83DC3,installed,working,working
DA45CE80892F9A2F3AEAB44D9677AB33E097FDBA14ED8B895ABDD8B141BC4E0E,installed,working,working
C37CEFD71EF5CD38DBF6F3DC22B2EE9EA943C1F70B1E27ACFE9FA3E51E0C0AC3,installed,working,working
B927197945A1EF4DBD90645C17129C31FF53EEAA40661A9EE063FBBEBD419F1C,installed,working,working
74DA0DC8401FA9B22A9B78125F8FE9D09FE748D6564971B75CE0CF600F888617,installed,working,working
AFE3F27DA3420E7B74E5BD535923CD8C53C8D7C1B6B6844B840C4EB734078597,installed,working,working
A47B371ECC28EE4388F58A0802DD64DB898A3114FD20D797F94AF2C7D6D99674,installed,working,working
